fid,hovedtypegrupper_fkey,langkode,kode_id,navn
381,62,NIN-3.0-T-C-PE-NA-MB-A-MF01,NA-MF01,Brakkvanns-undervannseng
382,62,NIN-3.0-T-C-PE-NA-MB-A-MC10,NA-MC10,Havis-underside
383,62,NIN-3.0-T-C-PE-NA-MB-A-MC09,NA-MC09,Havisbunn
384,62,NIN-3.0-T-C-PE-NA-MB-A-MC08,NA-MC08,Marint bunnsystem preget av oksygenmangel
385,62,NIN-3.0-T-C-PE-NA-MB-A-MC07,NA-MC07,Varm havkilde
386,62,NIN-3.0-T-C-PE-NA-MB-A-MC06,NA-MC06,Kald havkilde
387,62,NIN-3.0-T-C-PE-NA-MB-A-MC05,NA-MC05,Marine grotter og overheng
388,62,NIN-3.0-T-C-PE-NA-MB-A-MC04,NA-MC04,Brakkvanns-sedimentbunn
389,62,NIN-3.0-T-C-PE-NA-MB-A-MC03,NA-MC03,Littoralbassengbunn
390,62,NIN-3.0-T-C-PE-NA-MB-A-MB01,NA-MB01,Marin helofyttsump
391,62,NIN-3.0-T-C-PE-NA-MB-A-MA06,NA-MA06,Afotisk saltvanns-sedimentbunn
392,62,NIN-3.0-T-C-PE-NA-MB-A-MA05,NA-MA05,Eufotisk saltvanns-sedimentbunn
393,62,NIN-3.0-T-C-PE-NA-MB-A-MA04,NA-MA04,Fjærebelte-sedimentbunn
394,62,NIN-3.0-T-C-PE-NA-MB-A-MA03,NA-MA03,Afotisk fast saltvannsbunn
395,62,NIN-3.0-T-C-PE-NA-MB-A-MA02,NA-MA02,Eufotisk fast saltvannsbunn
396,62,NIN-3.0-T-C-PE-NA-MB-A-MA01,NA-MA01,Fast saltvanns-fjærebeltebunn
397,63,NIN-3.0-T-C-PE-NA-MB-A-LM05,NA-LM05,Innsjøbunn preget av kronisk fysiskalsk-kjemisk påvirkning
398,63,NIN-3.0-T-C-PE-NA-MB-A-LM04,NA-LM04,Innsjøbunn preget av kronisk fysisk forstyrrelse
399,63,NIN-3.0-T-C-PE-NA-MB-A-LM03,NA-LM03,Ny innsjøbunn med opphav i våtmarkssystemer
400,63,NIN-3.0-T-C-PE-NA-MB-A-LM02,NA-LM02,Ny innsjøbunn med opphav i elvebunn
401,63,NIN-3.0-T-C-PE-NA-MB-A-LM01,NA-LM01,Ny sterkt endret innsjøbunn
402,63,NIN-3.0-T-C-PE-NA-MB-A-LJ01,NA-LJ01,Klart endret innsjøbunn preget av næringsstoff-overbelastning
403,63,NIN-3.0-T-C-PE-NA-MB-A-LG01,NA-LG01,Ny innsjøbunn
404,63,NIN-3.0-T-C-PE-NA-MB-A-LC06,NA-LC06,Innsjø-sedimentbunn betinget av naturlig gjødsling
405,63,NIN-3.0-T-C-PE-NA-MB-A-LC05,NA-LC05,Innsjø-isbunn
406,63,NIN-3.0-T-C-PE-NA-MB-A-LC04,NA-LC04,Innsjøbunn preget av oksygenmangel
407,63,NIN-3.0-T-C-PE-NA-MB-A-LC03,NA-LC03,Innsjøbunn som består av grovt organisk materiale
408,63,NIN-3.0-T-C-PE-NA-MB-A-LC02,NA-LC02,Dy- og gytjebunn i innsjø
409,63,NIN-3.0-T-C-PE-NA-MB-A-LC01,NA-LC01,Myrtorv-innsjøbunn
410,63,NIN-3.0-T-C-PE-NA-MB-A-LB02,NA-LB02,Innsjø-undervannseng
411,63,NIN-3.0-T-C-PE-NA-MB-A-LB01,NA-LB01,Helofytt-ferskvannssump
412,63,NIN-3.0-T-C-PE-NA-MB-A-LA03,NA-LA03,Afotisk innsjøbunn
