fid,hovedtyper_fkey,langkode,kode_id,navn,kartleggingsenhet_m005_fkey,kartleggingsenhet_m020_fkey,kartleggingsenhet_m050_fkey
826,343,NIN-3.0-T-C-PE-NA-MB-TG01-32,TG01-32,TG01-32 Rabbepreget sand- og grusdominert breforland og snøavsmeltingsområde,TG01-M005-26,TG01-M020-12,TG01-M050-05
827,343,NIN-3.0-T-C-PE-NA-MB-TG01-31,TG01-31,TG01-31 Udifferensiert  sand- og grusdominert breforland og snøavsmeltingsområde,TG01-M005-25,TG01-M020-12,TG01-M050-05
828,343,NIN-3.0-T-C-PE-NA-MB-TG01-30,TG01-30,TG01-30 Skogsmarkspreget silt- og leiredominert breforland og snøavsmeltingsområde,TG01-M005-27,TG01-M020-12,TG01-M050-05
829,343,NIN-3.0-T-C-PE-NA-MB-TG01-29,TG01-29,TG01-29 Snøleiepreget silt- og leiredominert breforland og snøavsmeltingsområde,TG01-M005-26,TG01-M020-12,TG01-M050-05
830,343,NIN-3.0-T-C-PE-NA-MB-TG01-28,TG01-28,"TG01-28 Fjellhei, leside eller grasmarkspreget silt- og leiredominert breforland og snøavsmeltingsområde",TG01-M005-26,TG01-M020-12,TG01-M050-05
831,343,NIN-3.0-T-C-PE-NA-MB-TG01-27,TG01-27,TG01-27 Udifferensiert silt- og leiredominert breforland og snøavsmeltingsområde,TG01-M005-25,TG01-M020-12,TG01-M050-05
832,343,NIN-3.0-T-C-PE-NA-MB-TG01-26,TG01-26,TG01-26 Skogsmarkspreget hevet stein- og blokkstrand,TG01-M005-24,TG01-M020-11,TG01-M050-04
833,343,NIN-3.0-T-C-PE-NA-MB-TG01-25,TG01-25,TG01-25 Grasmarkspreget hevet stein- og blokkstrand,TG01-M005-23,TG01-M020-10,TG01-M050-04
834,343,NIN-3.0-T-C-PE-NA-MB-TG01-24,TG01-24,TG01-24 Rabbepreget hevet stein- og blokkstrand,TG01-M005-22,TG01-M020-10,TG01-M050-04
835,343,NIN-3.0-T-C-PE-NA-MB-TG01-23,TG01-23,TG01-23 Udifferensiert hevet stein- og blokkstrand,TG01-M005-21,TG01-M020-09,TG01-M050-04
836,343,NIN-3.0-T-C-PE-NA-MB-TG01-22,TG01-22,TG01-22 Skogsmarkspreget hevet grusstrand,TG01-M005-20,TG01-M020-11,TG01-M050-04
837,343,NIN-3.0-T-C-PE-NA-MB-TG01-21,TG01-21,TG01-21 Grasmarkspreget hevet grusstrand,TG01-M005-19,TG01-M020-10,TG01-M050-04
838,343,NIN-3.0-T-C-PE-NA-MB-TG01-20,TG01-20,TG01-20 Rabbepreget hevet grusstrand,TG01-M005-18,TG01-M020-10,TG01-M050-04
839,343,NIN-3.0-T-C-PE-NA-MB-TG01-19,TG01-19,TG01-19 Udifferensiert hevet grusstrand,TG01-M005-17,TG01-M020-09,TG01-M050-04
840,343,NIN-3.0-T-C-PE-NA-MB-TG01-18,TG01-18,TG01-18 Skogsmarkspreget moreneblokkmark,TG01-M005-16,TG01-M020-08,TG01-M050-03
841,343,NIN-3.0-T-C-PE-NA-MB-TG01-17,TG01-17,TG01-17 Snøleiepreget moreneblokkmark,TG01-M005-15,TG01-M020-08,TG01-M050-03
842,343,NIN-3.0-T-C-PE-NA-MB-TG01-16,TG01-16,"TG01-16 Fjellhei-, leside- eller grasmarkspreget moreneblokkmark",TG01-M005-15,TG01-M020-08,TG01-M050-03
843,343,NIN-3.0-T-C-PE-NA-MB-TG01-15,TG01-15,TG01-15 Rabbepreget moreneblokkmark,TG01-M005-15,TG01-M020-08,TG01-M050-03
844,343,NIN-3.0-T-C-PE-NA-MB-TG01-14,TG01-14,TG01-14 Udifferensiert moreneblokkmark,TG01-M005-14,TG01-M020-08,TG01-M050-03
845,343,NIN-3.0-T-C-PE-NA-MB-TG01-13,TG01-13,TG01-13 Snøleiepreget sterkt kalkrik stedegen stein- og blokkmark,TG01-M005-13,TG01-M020-07,TG01-M050-02
846,343,NIN-3.0-T-C-PE-NA-MB-TG01-12,TG01-12,TG01-12 Snøleiepreget kalkfattig til svakt kalkrik stedegen stein- og blokkmark,TG01-M005-12,TG01-M020-06,TG01-M050-01
847,343,NIN-3.0-T-C-PE-NA-MB-TG01-11,TG01-11,TG01-11 Rabbepreget sterkt kalkrik stedegen stein- og blokkmark,TG01-M005-11,TG01-M020-07,TG01-M050-02
